person,job,label,theme,text,date,lemmatized_text
חיים ילין,חבר כנסת יש עתיד,5,על השפעת ההתנתקות על הכלכלה ברצועת עזה,"עובדתית, כל עוד אנחנו היינו ברצועת עזה [...] לא היה עוני ברצועת עזה",2018-05-29,"עובדתי , כול עוד הוא היה ב רצועה עז ... לא היה עוני ב רצועה עז"
בצלאל סמוטריץ׳,"סגן יו""ר הכנסת ימינה",5,"על היחס לנישואים חד-מיניים בארה""ב",חצי מאזרחי ארהב הם שמרנים רפובליקאים שמתנגדים לנישואים חד-מיניים,2018-05-29,"חצי מ אזרח ארה""ב הוא שמרן רפובליקאים ש התנגד ל ה נישואין חד מיני"
נפתלי בנט,שר החינוך ימינה,1,על חקירות חברי ממשלה בעשרות השנים האחרונות,בכל הממשלות בעשרות השנים האחרונות תמיד היה מי שנחקר,2018-05-27,ב כול ה ממשלה ב עשר ה שנה ה אחרון תמיד היה מי ש נחקר
"שי באב""ד","מנכ""ל משרד האוצר",5,על השפעת פרויקט מחיר למשתכן על ירידת מדד מחירי הדירות,מחיר למשתכן לא השפיע על המדד. הוא גם לא משוקלל בתוך המדד. כל ירידות המחירים הן ירידות מחירים ללא מחיר למשתכן,2018-05-27,מחיר למשתכן לא השפיע על ה מדד . הוא גם לא משוקלל בתוך ה מדד . כול ירידה ה מחיר הוא ירידה מחיר ללא מחיר ל ה השתכן
איוב קרא,שר התקשורת הליכוד,3,על השתתפותן של מדינות ערביות בתחרות האירוויזיון,"יש מדינות ערביות שמשתתפות והשתתפו [באירוויזיון]. מרוקו למשל השתתפה, תורכיה השתתפה, לבנון נדמה לי השתתפה",2018-05-26,"יש מדינה ערבי ש השתתף ו השתתף ב אירוויזיון . מ רוק למשל השתתף , טורקיה השתתף , לבנון נדמה ל אני השתתף"
מייקל אורן,סגן שר במשרד ראש הממשלה כולנו,5,על יחסי המסחר עם טורקיה,רוב החומוס שאתה אוכל והטחינה זה גם מטורקיה,2018-05-24,רוב ה חומוס ש הוא אכל ו ה טחינה זה גם מטורקיה
קארין אלהרר,חברת כנסת יש עתיד,3,על הצעת החוק שתגביל את יכולתה של הפרקליטות לערער על פסקי דין,הפרקליטות כמעט ולא מערערת,2018-05-24,ה פרקליט כמעט ו לא מערער
איוב קרא,שר התקשורת הליכוד,5,על אירוח האירוויזיון בשנת 2019,"אם התאגיד לא יכול להוביל את האירוויזיון בשל פיצול החדשות, יכולה להיות אופציה של ערוץ שהוא רשום שם [באיגוד השידור האירופי], שזה ערוץ 10",2018-05-23,"אם ה תאגיד לא יכול הוביל את ה אירוויזיון בשל פיצול ה חדשה , יכול היה אופציה של ערוץ ש הוא רשם שם ב איגוד ה שידור ה אירופי , ש זה ערוץ 10"
קסניה סבטלובה,חברת כנסת המחנה הציוני,1,על ישראלים שאינם יכולים להינשא בישראל,"מאות אלפי ישראלים, לפחות כ-400,000 ישראלים וישראליות, לא יכולים להתחתן בישראל כלל, בגלל המגבלות של הרבנות, ובגלל שהם לא נחשבים ליהודים על פי ההלכה",2018-05-23,"מאה אלף ישראלי , לפחות כ 400,000 ישראלי ו ישראלי , לא יכול התחתן ב ישראל כלל , בגלל ה מגבלה של ה רבנות , ו בגלל ש הוא לא נחשב ל ה יהודי על פה ה הלכה"
דוד ביטן,חבר כנסת הליכוד,5,על אחוזי הגיוס בצפון תל אביב,בצפון תל אביב הרבה מאוד לא מתגייסים,2018-05-23,ב צפון תל אביב הרבה מאוד לא התגייס
דוד ביטן,חבר כנסת הליכוד,5,על חקירת המשטרה בעניינו,"״אני לא יכול להיות שר, כל העניין הוא שבחקירה הם חסמו אותי. אם הייתי שר ונחקר יכולתי להישאר שר. אם אתה לא שר, אתה לא יכול להתמנות״",2018-05-23,"הוא לא יכול היה שר , כול ה עניין הוא ש ב חקירה הוא חסם את אני . אם היה שר ו נחקר יכול נשאר שר . אם הוא לא שר , הוא לא יכול התמנה"
אכרם חסון,חבר כנסת כולנו,4,"על העלייה במחירי הדירות, טרם הירידה שחלה בחצי השנה האחרונה",כל שנה כמעט מחירי הדירות עלו ב-10%,2018-05-22,כול שנה כמעט מחיר ה דירה עלה ב 10
גלעד ארדן,השר לביטחון פנים הליכוד,3,"על פסיקת בג""ץ בנוגע לרישוי הפגנות",יש כרגע החלטה משפטית שהביאה לכך שלא צריך בכלל לבקש רישיון מראש על הפגנות,2018-05-21,יש כרגע החלטה משפטי ש הביא ל כך ש לא צריך בכלל ביקש רישיון מ ראש על הפגנה
אמיר אוחנה,חבר כנסת הליכוד,5,"על שלילת זכותם של ח""כים ערבים להתמודד בבחירות ולכהן בכנסת","פסקת ההתגברות יכולה לתת פתרון גם לסוגיות כאלה כמו סעיף 7א, למשל החלטה כזו שאנחנו נוכל להתגבר על פסיקת בית המשפט העליון",2018-05-21,"פסק ה התגברות יכול נתן פתרון גם ל סוגיה כ אל כמו סעיף 7 א , למשל החלטה כ ה זו ש הוא יכול התגבר על פסיקה בית ה משפט ה עליון"
אמיר אוחנה,חבר כנסת הליכוד,4,"על שלילת זכותם של ח""כים ערבים להתמודד בבחירות ולכהן בכנסת","סעיף 7א לחוק יסוד: הכנסת קובע שאנשים שתומכים בעמדות הללו לא צריכים להיות בכנסת [...] חוק ההשעיה קובע שאם חכ לא עמד בתבחיני סעיף 7א לא רק שהוא לא יוכל להיבחר לכנסת, אלא כהונתו תיפסק. אבל שוב ושוב הדבר הזה נמנע על ידי ביהמש",2018-05-21,"סעיף 7 א ל חוק יסוד הכניס קבע ש איש ש תמך ב עמדה הללו לא צריך היה ב כ נס ... חוק ה השעיה קבע ש אם חכ לא עמד ב הבחין סעיף 7 א לא רק ש הוא לא יכול נבחר ל ה כנסת , אלא כהונה נפסק . אבל שוב ו שוב ה דבר ה זה נמנע על יד ביהמש"
אלי כהן,שר הכלכלה הליכוד,4,על מס החברות המופחת שמשלמת אינטל,"מראיין: מה זו ההטבה הזו? מדוע הם משלמים רק 5%?
כהן: ההטבה הזאת היא לכולם",2018-05-16,"מראיין: מה זו ההטבה הזו? מדוע הם משלמים רק 5%?
כהן: ההטבה הזאת היא לכולם"
אופיר אקוניס,שר המדע והטכנולוגיה הליכוד,5,על הפליטים הפלסטינים ב-1948,"היו כמה עשרות אלפים, אולי קצת יותר, שנאלצו לעזוב את בתיהם, משום שהם הפסידו במלחמה",2018-05-15,"היה כמה עשר אלף , אולי קצת יותר , ש נאלץ עזב את בית , משום ש הוא הפסיד ב ה מלחמה"
יריב לוין,שר התיירות הליכוד,5,על תאגיד השידור הציבורי,"לא היה ויכוח גדול על עצם קיום התאגיד. זה על הצורך שהוא יעסוק, בעלות של למעלה מ-700 מיליון שקל בנושאים שכנראה הציבור לא כל כך מעוניין שיעסוק בהם כי הוא לא צופה בהם",2018-05-13,"לא היה ויכוח גדול על עצם קיום ה תאגיד . זה על ה צורך ש הוא עסק , ב עלות של למעלה מ 700 מיליון שקל ב נושא ש כנראה ה ציבור לא כול כך מעוניין ש עסק ב ה הוא כי הוא לא צופה ב הוא"
נפתלי בנט,שר החינוך ושר התפוצות ימינה,5,על הסיבות לקידום פסקת ההתגברות,"עדיין יש לנו פה 50,000 מסתננים שבינתיים מקימים פה משפחות",2018-05-09,"עדיין יש ל אנחנו פה 50,000 הסתנן ש בינתיים הקים פה מ שפחה"
אורי אריאל,שר החקלאות הבית היהודי,4,על מחירי המים בחקלאות,"״אנחנו הורדנו אחרי עשר שנים את מחיר המים ב-22%, לא באחוז ורבע״",2018-05-06,"הוא הורד אחרי עשר שנה את מחיר ה מים ב 22 , לא ב ה אחוז ו רבע"
איילת שקד,שרת המשפטים ימינה,1,על אישור שחרורים מוקדמים לאסירים,"בשנים האחרונות ועדות השחרורים נתנו לפחות ופחות אנשים שליש, רק כ-25% מהאנשים קיבלו שליש",2018-05-06,"ב ה שנה ה אחרון ו עדות ה שחרור ניתן לפחות ו פחות איש שליש , רק כ 25 מ ה איש קיבל שליש"
אורן חזן,חבר כנסת הליכוד,5,"על הרכב של יו""ר הכנסת יולי אדלשטיין","אדלשטיין, לא הספיק לו רכב הסקודה אז הוא הלך ורכש לעצמו רכבי יוקרה, ג'יפ-לימוזין של טויוטה חדש [...] מכספי המסים, מהכסף שלכם הוא התחדש ברכבים, כי כמובן שלא הספיק לו רכב אחד - אז הוא רצה יותר ועוד ועוד",2018-04-30,"אדלשטיין , לא הספיק ל הוא רכב ה סקודה אז הוא הילך ו רכש ל עצמו רכב יוקרה , ג יפ לימוזין של טויוטה חדש ... מ כסף ה מס , מ ה כסף ש ל אתם הוא התחדש ב ה רכב , כי כמובן ש לא הספיק ל הוא רכב אחד אז הוא רצה יותר ו עוד ו עוד"
בנימין נתניהו,ראש הממשלה הליכוד,5,על הסכם הגרעין עם אירן,אירן נדרשה בהסכם הגרעין להתוודות בפני הסוכנות הבינלאומית לאנרגיה אטומית בעניין תכנית הגרעין שלה. זה היה תנאי חד משמעי לקיום הסכם הגרעין - אירן חייבת להתוודות,2018-04-30,איראן נדרש ב הסכם ה גרעין ל ה התוודות בפני ה סוכנות ה בינלאומי ל אנרגיה אטומי ב עניין תוכנית ה גרעין של היא . זה היה תנאי חד משמעי ל קיום הסכם ה גרעין איראן חייב ל התוודות
ציפי חוטובלי,סגנית שר במשרד החוץ הליכוד,4,על הבטחת נשיא צ'כיה להעביר את שגרירות ארצו לירושלים,"יש לו סמכות [לנשיא]. אין כרגע ממשלה מכהנת בצ'כיה [...] אני ניהלתי את השיחות מול משרד החוץ ומול הנשיא, הנשיא מגובה גם על ידי הפרלמנט הצ'כי שקיבל את ההחלטה הזאת לפני שנה",2018-04-26,"יש ל הוא סמכות ל ה נשיא . אין כרגע ממשלה כיהן בצ כ יה ... הוא ניהל את ה שיחה מול משרד ה חוץ ו מול ה נשיא , ה נשיא גובה גם על יד ה פרלמנט הצ כי ש קיבל את ה החלטה ה זאת לפני שנה"
